Title,Year,Runtime_minutes,Genres,Rating,Votes,IMDB_Link
The Black Donnellys,(2007),60.0,"Crime, Drama            ",8.1,"13,992",https://www.imdb.com/title/tt0805661/
The Tudors,(2007–2010),60.0,"Drama, History, Romance            ",8.1,"72,827",https://www.imdb.com/title/tt0758790/
Serial Experiments Lain,(1998),316.0,"Animation, Drama, Horror            ",8.1,"12,737",https://www.imdb.com/title/tt0500092/
The Unit,(2006–2009),60.0,"Action, Drama, Thriller            ",8.1,"21,468",https://www.imdb.com/title/tt0460690/
Criminal Minds,(2005–2020),42.0,"Crime, Drama, Mystery            ",8.1,"184,917",https://www.imdb.com/title/tt0452046/
Môsô dairinin,(2004),25.0,"Animation, Drama, Horror            ",8.1,"11,329",https://www.imdb.com/title/tt0433722/
Hustle,(2004–2012),60.0,"Crime, Drama, Mystery            ",8.1,"22,368",https://www.imdb.com/title/tt0379632/
Stargate: Atlantis,(2004–2009),44.0,"Action, Adventure, Drama            ",8.1,"64,976",https://www.imdb.com/title/tt0374455/
Dead Like Me,(2003–2004),60.0,"Comedy, Drama, Fantasy            ",8.1,"41,638",https://www.imdb.com/title/tt0348913/
Penn & Teller: Bullshit!,(2003–2010),30.0,"Comedy, Documentary            ",8.1,"11,676",https://www.imdb.com/title/tt0346369/
Malcolm in the Middle,(2000–2006),22.0,"Comedy, Family            ",8.1,"126,208",https://www.imdb.com/title/tt0212671/
Family Guy,(1999– ),22.0,"Animation, Comedy            ",8.1,"322,618",https://www.imdb.com/title/tt0182576/
Batman Beyond,(1999–2001),23.0,"Animation, Action, Adventure            ",8.1,"26,669",https://www.imdb.com/title/tt0147746/
Daria,(1997–2001),30.0,"Animation, Comedy, Drama            ",8.1,"24,623",https://www.imdb.com/title/tt0118298/
Superman,(1996–2000),30.0,"Animation, Action, Adventure            ",8.1,"15,263",https://www.imdb.com/title/tt0115378/
Gargoyles,(1994–1996),30.0,"Animation, Action, Adventure            ",8.1,"15,945",https://www.imdb.com/title/tt0108783/
Late Night with Conan O'Brien,(1993–2009),60.0,"Comedy, Music, Talk-Show            ",8.1,"17,976",https://www.imdb.com/title/tt0106052/
Frasier,(1993–2004),22.0,Comedy            ,8.1,"80,698",https://www.imdb.com/title/tt0106004/
Absolutely Fabulous,(1992–2012),45.0,Comedy            ,8.1,"19,386",https://www.imdb.com/title/tt0105929/
In Living Color,(1990–1994),30.0,Comedy            ,8.1,"10,826",https://www.imdb.com/title/tt0098830/
Quantum Leap,(1989–1993),60.0,"Action, Adventure, Drama            ",8.1,"29,590",https://www.imdb.com/title/tt0096684/
